Código Ramo de Atividade;Ordem Ramo de Atividade;Código Ramo de Atividade - Nível 1;Código Ramo de Atividade - Nível 2;Código Ramo de Atividade - Nível 3;Código Ramo de Atividade - Nível 4;Código Ramo de Atividade - Nível 5;Ramo de Atividade - Nível 1;Ramo de Atividade - Nível 2;Ramo de Atividade - Nível 3;Ramo de Atividade - Nível 4;Ramo de Atividade - Nível 5;Ramo de Atividade;Divisão
2930;2;4615000;4618401;4618499;4618499;4618499;OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO ESPECIALIZADO EM PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE ELETRODOMESTICOS, MOVEIS E ARTIGOS DE USO DOMESTICO;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MEDICAMENTOS, COSMETICOS E PRODUTOS DE PERFUMARIA;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MEDICAMENTOS, COSMETICOS E PRODUTOS DE PERFUMARIA;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MEDICAMENTOS, COSMETICOS E PRODUTOS DE PERFUMARIA;ATACADO;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
2911;1;0710301;0990401;0990401;0990401;0990401;ATIVIDADES DE APOIO A EXTRACAO DE MINERIO DE FERRO;EXTRACAO DE MINERIO DE FERRO;EXTRACAO DE MINERIO DE FERRO;EXTRACAO DE MINERIO DE FERRO;EXTRACAO DE MINERIO DE FERRO;MINERAÇÃO;EXTRAÇÃO DE MINERAIS METÁLICOS
2792;3;8511200;8512100;8513900;8520100;8520100;EDUCACAO INFANTIL  CRECHE;EDUCACAO INFANTIL  PREESCOLA;ENSINO FUNDAMENTAL;ENSINO MEDIO;ENSINO MEDIO;SERVIÇOS DE EDUCAÇÃO;EDUCAÇÃO
2720;3;4110700;4616800;6810201;6810202;6810202;ALUGUEL DE IMOVEIS PROPRIOS;COMPRA E VENDA DE IMOVEIS PROPRIOS;INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE TEXTEIS, VESTUARIO, CALCADOS E ARTIGOS DE VIAGEM;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE TEXTEIS, VESTUARIO, CALCADOS E ARTIGOS DE VIAGEM;INDÚSTRIA DA CONSTRUÇÃO;CONSTRUÇÃO DE EDIFÍCIOS
389;0;9529105;9529105;9529105;9529105;9529105;REPARACAO DE ARTIGOS DO MOBILIARIO;REPARACAO DE ARTIGOS DO MOBILIARIO;REPARACAO DE ARTIGOS DO MOBILIARIO;REPARACAO DE ARTIGOS DO MOBILIARIO;REPARACAO DE ARTIGOS DO MOBILIARIO;SERVIÇOS PROFISSIONAIS E;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICO
1302;2;4781400;4782201;4789099;4789099;4789099;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE CALCADOS;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMÉRCIO VAREJISTA
2410;4;1411801;1412601;4755502;4772500;4781400;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;CONFECCAO DE ROUPAS INTIMAS;BENS DE CONSUMO;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
2504;2;4744099;7732201;7732202;7732202;7732202;ALUGUEL DE ANDAIMES;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;VAREJO;COMÉRCIO VAREJISTA
1442;4;0111302;0119905;0121101;0151201;0151202;CRIACAO DE BOVINOS PARA CORTE;CRIACAO DE BOVINOS PARA LEITE;CULTIVO DE FEIJAO;CULTIVO DE MILHO;HORTICULTURA, EXCETO MORANGO;PRODUTOS DE AGROPECUÁRIA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
2328;4;1340599;1414200;4616800;4642701;4781400;COMERCIO ATACADISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS, EXCETO PROFISSIONAIS E DE SEGURANCA;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;FABRICACAO DE ACESSORIOS DO VESTUARIO, EXCETO PARA SEGURANCA E PROTECAO;OUTROS SERVICOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TEXTEIS E PECAS DO VESTUARIO;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE TEXTEIS, VESTUARIO, CALCADOS E ARTIGOS DE VIAGEM;TÊXTEIS;FABRICAÇÃO DE PRODUTOS TÊXTEIS
