Código Localidade;Logradouro;Bairro;Município;UF
14090283;RUA GUARUJA;JARDIM PAULISTANO;RIBEIRAO PRETO;SP
13900400;AVENIDA BERNARDINO DE CAMPOS;CENTRO;AMPARO;SP
48970000;AVENIDA JOAO DURVAL CARNEIRO;RODOVIARIO;SENHOR DO BONFIM;BA
86935000;RUA SAOA PAULO;CENTRO;LUNARDELLI;PR
40260120;RUA DOS BANDEIRANTES;MATATU DE BROTAS;SALVADOR;BA
35774000;RUA QUINTINO MOREIRA;;PARAOPEBA;MG
40015010;RUA MIGUEL CALMON;COMERCIO;SALVADOR;BA
78400000;RODOVIA MT 308;ZONA RURAL;DIAMANTINO;MT
49400000;AVENIDA PRESIDENTE KENNEDY;SEDE;LAGARTO;SE
60325580;RUA ODETTE PACHECO;SAO GERARDO;FORTALEZA;CE
40140080;RUA AFONSO CELSO;CENTRO;SALVADOR;BA
73850000;RUA MINAS GERAIS;CENTRO;CRISTALINA;GO
62184000;RUA DA BANDEIRA;CENTRO;CARIRE;CE
81250610;RUA RICARDO EMILIO MICHEL;CIDADE INDUSTRIAL;CURITIBA;PR
79081310;AVENIDA DAS BANDEIRAS;JARDIM NHANHA;CAMPO GRANDE;MS
07786515;AVENIDA ANTONIETA PASQUARELLI PENTEADO;ALTOS DE JORDANESIA;CAJAMAR;SP
14080350;RUA JOAO CLAPP;CAMPOS ELISEOS;RIBEIRAO PRETO;SP
03253040;RUA ANAI;VILA INDUSTRIAL;SAO PAULO;SP
55820000;PRACA DA SOLEDADE;CENTRO;LAGOA DO CARRO;PE
19807155;AVENIDA VEREADOR D PASSARINHO;VL PRUDENCIANA;ASSIS;SP
87504616;AVENIDA PRINCIPAL;SERRA DOS DOURADOS;UMUARAMA;PR
89300000;RUA VITORINO BACELAR;CENTRO;MAFRA;SC
06767280;ESTRADA BENEDITO CESARIO DE OLIVEIRA;VILA IASI;TABOAO DA SERRA;SP
74633400;RUA 6;VILA OSVALDO ROSA;GOIANIA;GO
08380059;RUA CUSTODIO NASCIMENTO;JARDIM ROSELI;SAO PAULO;SP
35300068;TRECHO PORTUGUES;CENTRO;CARATINGA;MG
02739000;AVENIDA ITABERABA;VILA N CACHOEIRINHA;SAO PAULO;SP
85660000;RUA DEDI BARICHELLO MONTAGNER;CENTRO NORTE;DOIS VIZINHOS;PR
58770000;RUA GETULIO VARGAS;CENTRO;COREMAS;PB
33600970;RUA COMENDADOR ANTONIO ALVES;CENTRO;PEDRO LEOPOLDO;MG
16880000;RUA XV DE NOVEMBRO;CENTRO;VALPARAISO;SP
13150000;AVENIDA DA SAUDADE;CHACARA HORIZONTE;COSMOPOLIS;SP
88065000;RODOVIA SC 405;CAMPECHE;FLORIANOPOLIS;SC
74942470;RUA DO RUSSEL;JARDIM BURITI SERENO;APARECIDA DE GOIANIA;GO
88015440;RUA ALVES DE BRITO;CENTRO;FLORIANOPOLIS;SC
16200003;PRACA DOUTOR GAMA;CENTRO;BIRIGUI;SP
75115010;RUA ALEIXO RODRIGUES DE QUEIROZ;VILA INDUSTRIAL;ANAPOLIS;GO
35500970;FAZENDA MARACUJA;AREA RURAL;DIVINOPOLIS;MG
95055065;RUA GRACIOSA FABRO;DIAMANTINO;CAXIAS DO SUL;RS
49890000;RUA PEROLINA ARAUJO;CENTRO;NOSSA SENHORA DE LOURDES;SE
16640000;SITIO MONTE AZUL;DUAS PONTES;BALBINOS;SP
04727030;RUA ALBINO B GABRIL;VILA CRUZEIRO;SAO PAULO;SP
35040060;RUA APOL SATHLER;SANTA RITA;GOVERNADOR VALADARES;MG
19880000;SITIO SAO BENEDITO;AGUA DO FOGO;CANDIDO MOTA;SP
85055310;RUA ANTONIO LOSSO;CONRADINHO;GUARAPUAVA;PR
03731030;RUA LONDRES;VILA LONDRINA;SAO PAULO;SP
05437000;RUA HEITOR PENTEADO;SUMAREZINHO;SAO PAULO;SP
80420190;RUA DESEMBARGADOR MOTTA;CENTRO;CURITIBA;PR
46470000;AVENIDA DO AGRICULTOR;SAO FELIX;RIACHO DE SANTANA;BA
41510045;PRACA GAGO COUTINHO;SAO CRISTOVAO;SALVADOR;BA
18740000;RUA DOUTOR ATALIBA LEONEL;CENTRO;TAQUARITUBA;SP
05503000;AVENIDA DOUTOR VITAL BRASIL;BUTANTA;SAO PAULO;SP
14030560;RUA MANUEL DE MACEDO;JARDIM PIRATININGA;RIBEIRAO PRETO;SP
40454260;RUA DO URUGUAI;URUGUAI;SALVADOR;BA
40301155;RUA CLAUDIONOR WANDERLEY;BOA VIAGEM;SALVADOR;BA
02333001;AVENIDA AGUA FRIA;AGUA FRIA;SAO PAULO;SP
62790000;RUA LUDGERO GUILHERME COSTA;CENTRO;REDENCAO;CE
85022220;RUA FRANCISCO DE ASSIS;BOQUEIRAO;GUARAPUAVA;PR
76804027;RUA DOM PEDRO II;SAO CRISTOVAO;PORTO VELHO;RO
88511570;RUA MARCILIO DIAS;VARZEA;LAGES;SC
35702192;AVENIDA MENDEL;JK;SETE LAGOAS;MG
79080520;RUA DO MINUANO;JARDIM MARCOS ROBERTO;CAMPO GRANDE;MS
47400000;RODOVIA BA 52;ALFREDO HENRIQUE SAMPAIO;XIQUE XIQUE;BA
26021150;RUA INDUSTRIAL;POSSE;NOVA IGUACU;RJ
03982180;RUA VICENTE FRANCO TOLENTINO;PARQUE SANTA MADALENA;SAO PAULO;SP
09860122;AVENIDA ROBERT KENNEDY;JARDIM BRASILANDIA;SAO BERNARDO DO CAMPO;SP
46220000;PRACA VEREADOR JOSE MARQUES BORGES;CENTRO;RIO DO ANTONIO;BA
80320300;AVENIDA PRESIDENTE ARTHUR DA SILVA BERNARDES;SANTA QUITERIA;CURITIBA;PR
39400612;RUA FREI EUSTAQUIO;SAO JUDAS TADEU;MONTES CLAROS;MG
08452000;RUA JOAO DE SIQUEIRA AFONSO;LAJEADO;SAO PAULO;SP
16204155;RUA WILSON TRONCOSO;RESIDENCIAL ALVORADA;BIRIGUI;SP
75104280;RUA FRANCISCO VALOIS;SETOR INDUSTRIAL AEROPORTO;ANAPOLIS;GO
47850000;RUA PARAIBA;CENTRO;LUIS EDUARDO MAGALHAES;BA
12327005;RUA ALFREDO SCHURIG;CENTRO;JACAREI;SP
68515000;RUA F;UNIAO;PARAUAPEBAS;PA
15280000;ESTRADA MUNICIPAL TURIUBA A MONCOES;PALMEIRAS;TURIUBA;SP
14080570;RUA ALIADOS;CAMPOS ELISEOS;RIBEIRAO PRETO;SP
05418001;RUA DEPUTADO LACERDA FRANCO;PINHEIROS;SAO PAULO;SP
88735000;RUA FRANCISCO KNABBEM;TERMAS DO GRAVATAL;GRAVATAL;SC
19470000;SITIO SINAI;CAMPINAL;PRESIDENTE EPITACIO;SP
02049000;AVENIDA OTTO BAUMGART;VILA GUILHERME;SAO PAULO;SP
94431700;RUA PC ALEXANDRITA;LOTEAMENTO ELDORADO;VIAMAO;RS
69067700;RUA GAIVOTA;PETROPOLIS;MANAUS;AM
17064430;RUA MARIA FRANCISCA PEREIRA;PARQUE ROOSEVELT;BAURU;SP
