Código Localidade;Logradouro;Bairro;Município;UF
74958017;AVENIDA DAS NACOES;JARDIM VENEZA;APARECIDA DE GOIANIA;GO
85660000;AVENIDA PRESIDENTE KENNEDY;CENTRO;DOIS VIZINHOS;PR
42800420;AVENIDA COMERCIAL;CENTRO;CAMACARI;BA
88900000;BR 101;MATO ALTO;ARARANGUA;SC
25937890;ESTRADA UNIAO E INDUSTRIA;PARQUE ESTRELA;MAGE;RJ
63660000;RUA FRANCISCO DE ASSIS SANTANA DE SOUZA;CIDADE LESTE;TAUA;CE
98975000;LOCALIDADE;LINHA PACA NORTE;CAMPINA DAS MISSOES;RS
14025680;RUA INACIO LUIZ PINTO;ALTO DA BOA VISTA;RIBEIRAO PRETO;SP
94480755;RUA 22 DE ABRIL;LOMBA DO PINHEIRO;VIAMAO;RS
39770000;RUA LOCALIDADE DE PIAUS;ZONA RURAL;COLUNA;MG
04544100;RUA FERREIRA DE SOUSA;VILA NOVA CONCEICAO;SAO PAULO;SP
46430000;RUA SANTO ANTONIO;CENTRO;GUANAMBI;BA
07175000;AVENIDA ARMANDO BEI;VILA NOVA BONSUCESSO;GUARULHOS;SP
79005600;RUA MIGUEL COUTO;VILA CARVALHO;CAMPO GRANDE;MS
89228750;RUA ANTONIO AUGUSTO DO LIVRAMENTO;ESPINHEIROS;JOINVILLE;SC
89050040;RUA CHILE;PONTA AGUDA;BLUMENAU;SC
13408072;RUA CORCOVADO;JARDIM SONIA;PIRACICABA;SP
78158520;RUA HOLANDA;JARDIM IMPERIAL;VARZEA GRANDE;MT
63210000;RUA BI;QUIXABINHA;MAURITI;CE
37240000;PRACA DOS EXPEDICIONARIOS;CENTRO;LUMINARIAS;MG
98040070;AVENIDA SATURNINO DE BRITO;SAO FRANCISCO;CRUZ ALTA;RS
55006001;TRECHO 13 DE MAIO;CENTRO;CARUARU;PE
68456760;AVENIDA VERIDIANO CARDOSO;COHAB;TUCURUI;PA
44380000;AVENIDA ALBERTO PASSOS;CENTRO;CRUZ DAS ALMAS;BA
83280000;AVENIDA 29 DE ABRIL;CENTRO;GUARATUBA;PR
74465170;AVENIDA INDEPENDENCIA;SETOR CENTRAL;GOIANIA;GO
14075080;RUA RIBEIRO PRETO;VILA CARVALHO;RIBEIRAO PRETO;SP
78140670;RUA IARA;JARDIM GLORIA LL;VARZEA GRANDE;MT
33200000;RUA MOURA LIMA;JARDIM DA GLORIA;VESPASIANO;MG
76100000;RUA 2;SETOR RODOVIARIO;SAO LUIS DE MONTES BELOS;GO
32605125;RUA NOSSA SENHORA DE FATIMA;ALTO DAS FLORES;BETIM;MG
65620000;RUA ECOLOGIA;MUTIRAO;COELHO NETO;MA
21011130;RUA OURIQUE;BRAS DE PINA;RIO DE JANEIRO;RJ
89873000;RUA PADRE DARCI;CENTRO;BOM JESUS DO OESTE;SC
81270310;RUA PROFESSOR DOUTOR SANDOVAL RIBEIRO RIBAS;CIDADE INDUSTRIAL CURITIBA;CURITIBA;PR
35010171;RUA SETE DE SETEMBRO;CENTRO;GOVERNADOR VALADARES;MG
58083110;RUA DOS CARTEIROS;INDUSTRIAS;JOAO PESSOA;PB
38755000;RODOVIA BR 40;ZONA RURAL;LAGOA GRANDE;MG
44910000;RUA MORRO DO CHAPEU;NOVA AMERICA;AMERICA DOURADA;BA
44150970;PRACA ANTONIO RIBEIRO CUNHA;CENTRO;SANTA BARBARA;BA
32605260;RUA LUIZA MARIA DE JESUS;VILA DAS FLORES;BETIM;MG
37950000;RUA PIMENTA DE PADUA;CENTRO;SAO SEBASTIAO DO PARAISO;MG
95012550;RUA WALFRIDA VERSTEG;CINQUENTENARIO;CAXIAS DO SUL;RS
93600000;RUA DO PARQUE;LIRA;ESTANCIA VELHA;RS
65790000;RUA MARECHAL DELFINO CALVO;CENTRO;SAO DOMINGOS DO MARANHAO;MA
21545160;RUA ITAPEROA;ROCHA MIRANDA;RIO DE JANEIRO;RJ
86490000;FAZENDA PADROEIRA;TRIOLANDIA;RIBEIRAO DO PINHAL;PR
07714570;RUA ANITA GARIBALDI;JARDIM VICTORIA;CAIEIRAS;SP
69042140;RUA AVOEIRAS;ALVORADA;MANAUS;AM
88036800;RUA PROFMARIA FLORA PAUSEWANG;TRINDADE;FLORIANOPOLIS;SC
04545001;RUA FIANDEIRAS;VILA OLIMPIA;SAO PAULO;SP
04516012;AVENIDA PAVAO;INDIANOPOLIS;SAO PAULO;SP
36227970;RUA DO ROSARIO;CENTRO;PIEDADE DO RIO GRANDE;MG
29321000;RUA CUSTODIO MOULAIS;VARGEM G DO SOTURNO;CACHOEIRO DE ITAPEMIRIM;ES
01004010;RUA QUINTINO BOCAIUVA;CENTRO;SAO PAULO;SP
13320241;AVENIDA DOM PEDRO II;CENTRO;SALTO;SP
59338000;RUA FRANCISCO AMARAL;CENTRO;TENENTE LAURENTINO CRUZ;RN
50751190;RUA FRAIBURGO;BONJI;RECIFE;PE
36010240;GALERIA PIO;CENTRO;JUIZ DE FORA;MG
72911205;QUADRA 48;JARDIM DA BARRAGEM II;AGUAS LINDAS DE GOIAS;GO
14300000;RUA JOSE GARIALDI II;CASTELO;BATATAIS;SP
09132400;ESTRADA DO PEDROSO;JARDIM SANTO ANDRE;SANTO ANDRE;SP
88359321;RUA 116;JARDIM MALUCHE;BRUSQUE;SC
44570535;ESTRADA BR 101;AMPARO;SANTO ANTONIO DE JESUS;BA
21931380;RUA DA COLINA;JARDIM GUANABARA;RIO DE JANEIRO;RJ
99650000;RUA DA MATRIZ;CENTRO;BENJAMIN CONSTANT DO SUL;RS
68503190;RUA ARACAJU;BELO HORIZONTE;MARABA;PA
13082025;RUA DOUTOR ELTON CESAR;CHACARAS CAMPOS DOS AMARAIS;CAMPINAS;SP
13203715;RODOVIA TANCREDO ALMEIDA NEVES;CASTANHO;JUNDIAI;SP
15047000;RUA ANTONIO DE OLIVEIRA;JARDIM DAS OLIVEIRAS;SAO JOSE DO RIO PRETO;SP
06840060;RUA COMETA;JARDIM NOVO EMBU;EMBU DAS ARTES;SP
57160000;RUA CAPITAO BERNADINO SOUTO;CENTRO;MARECHAL DEODORO;AL
05211200;RUA SALLES GOMES;VILA PERUS;SAO PAULO;SP
30720370;RUA ANCHIETA;PADRE EUSTAQUIO;BELO HORIZONTE;MG
36060620;CONTORNO DA RUA ANGELO BIGGI VALE DOS PEOES;LINHARES;JUIZ DE FORA;MG
29162450;RUA PAU BRASIL;JOSE DE ANCHIETA;SERRA;ES
30130171;RUA SERGIPE;FUNCIONARIOS;BELO HORIZONTE;MG
15570000;FAZENDA CACHOEIRA DOS TOMAZES;ZONA RURAL;CARDOSO;SP
69082230;ESTRADA DOS OFICIAIS;FLORES;MANAUS;AM
07064030;RUA CONEGO EZEQUIAS;VILA ROSALIA;GUARULHOS;SP
04149110;RUA ANDRE MENDES;JARDIM DA SAUDE;SAO PAULO;SP
64565000;COMUNIDADE MAXIXE I;ZONA RURAL;ITAINOPOLIS;PI
40220110;TRAVESSA APOLINARIO SANTANA;ENGENHO VELHO DA FEDERACAO;SALVADOR;BA
12620000;RODOVIA BR 459;SEDE;PIQUETE;SP
04045000;AVENIDA JABAQUARA;PLANALTO PAULISTA;SAO PAULO;SP
69909660;TRECHO NEUSA VIDAL;VILA AMIZADE;RIO BRANCO;AC
07901020;RUA VIRGILIO M DE OLIVEIRA;CENTRO;FRANCISCO MORATO;SP
65390000;POVOADO BELA VISTA;ZONA RURAL;SANTA LUZIA;MA
22631000;AVENIDA DAS AMERICAS;BARRA DA TIJUCA;RIO DE JANEIRO;RJ
44350000;RODOVIA BR 101;ZONA RURAL;GOVERNADOR MANGABEIRA;BA
04894420;RUA ALCIDIO GOMES;JARDIM DAS FONTES;SAO PAULO;SP
22240010;TRECHO EUCLIDES DE MATOS;LARANJEIRAS;RIO DE JANEIRO;RJ
12052072;RUA ANTONIO PEREIRA DE ANDRADE;VILA APARECIDA;TAUBATE;SP
16201106;AVENIDA ANTONIO DA SILVA NUNES;ESTANCIA CAICARA;BIRIGUI;SP
79570000;RUA AMAZONAS;VILA PEREIRA;APARECIDA DO TABOADO;MS
95840971;RODOVIA BR 386;COXILHA VELHA;TRIUNFO;RS
60360640;RUA RUI MONTE;ANTONIO BEZERRA;FORTALEZA;CE
08041790;RUA ERVA DE LARGATO;SAO MIGUEL PAULISTA;SAO PAULO;SP
59258000;RUA IRENE RODRIGUES SOARES;CENTRO;SERRINHA;RN
14990000;RUA AFONSO PENA;CENTRO;IRAPUA;SP
48010000;RUA 24 DE MAIO;CENTRO;ALAGOINHAS;BA
01124030;RUA JOAO KOPKE;BOM RETIRO;SAO PAULO;SP
32606116;RUA OLGA ASSUNCAO;NOVO HORIZONTE;BETIM;MG
49760000;RUA SANTO AMARO;CENTRO;ROSARIO DO CATETE;SE
97573070;RUA CLEMENTINO BICA DE ALMEIDA;CENTRO;SANTANA DO LIVRAMENTO;RS
68795000;AVENIDA NACOES UNIDAS;CENTRO;BENEVIDES;PA
11045101;RUA OSWALDO CRUZ;BOQUEIRAO;SANTOS;SP
84026170;RUA DRJOAQUIM M ATORRES;OLARIAS;PONTA GROSSA;PR
92330500;RUA FLORIANOPOLIS;MATHIAS VELHO;CANOAS;RS
03280000;RUA EDMUNDO JUVENT FUENTES;VILA SAO DOMINGOS;SAO PAULO;SP
19300000;SITIO AGUA BOA I;NOVA PATRIA;PRESIDENTE BERNARDES;SP
92025415;AVENIDA FARROUPILHA;NOSSA SENHORA DAS GRACAS;CANOAS;RS
11360000;RUA GUARANY;PARQUE SAO VICENTE;SAO VICENTE;SP
58465000;RUA DEMOSTENES BARBOSA;CENTRO;RIACHO DE SANTO ANTONIO;PB
18730000;RUA DONATO D DE CAMARGO;JARDIM PLANALTO;ITAI;SP
36087020;AVENIDA DOUTOR BEZERRA DE MENEZES;NOVA ERA;JUIZ DE FORA;MG
88702260;RUA SILVIO CARGNIN;OFICINAS;TUBARAO;SC
93265300;AVENIDA ERICO VERISSIMO;LIBERDADE;ESTEIO;RS
57240000;RUA 2;LOTEAMENTO ESTHER SOARES TORRES;SAO MIGUEL DOS CAMPOS;AL
83750000;RUA GELSON LUIZ CAPELLI;VILA SAO JOSE;LAPA;PR
97410000;LOCALIDADE SERTAO;1 DISTRITO;MATA;RS
06606050;RUA NICOLAU SALUM;JARDIM JANDIRA;JANDIRA;SP
35582000;RUA JOAO MARCAL DE MELO;CENTRO;PAINS;MG
02080010;RUA PIATA;CARANDIRU;SAO PAULO;SP
45345000;RUA TV MANOEL VICTOR;STELA DUBOIS;JAGUAQUARA;BA
04547005;RUA GOMES DE CARVALHO;VILA OLIMPIA;SAO PAULO;SP
69020110;RUA JONATHAS PEDROSA;PRACA 14 DE JANEIRO;MANAUS;AM
04003902;RUA LEONCIO DE CARVALHO;PARAISO;SAO PAULO;SP
06190170;RUA GENERAL NEWTON ESTILAC LEAL;KM 18;OSASCO;SP
85904160;RUA SANTA ROSA;VILA INDUSTRIAL;TOLEDO;PR
74080150;RUA 101;SETOR SUL;GOIANIA;GO
07020010;AVENIDA EMILIO RIBAS;GOPOUVA;GUARULHOS;SP
64585000;PRACA SESQUICENTENARIO;URBANO;SIMOES;PI
03658000;RUA ITINGUCU;VILA RE;SAO PAULO;SP
37240000;PRACA DO CARMO;CENTRO;LUMINARIAS;MG
89023030;RUA JOSE D AVILA RUFINO;JARDIM BLUMENAU;BLUMENAU;SC
04909025;ESTRADA DE GUARAPIRANGA;PRQ ALVES DE LIMA;SAO PAULO;SP
62800000;RUA CORONEL POMPEU;CENTRO;ARACATI;CE
22040020;RUA HILARIO DE GOUVEIA;COPACABANA;RIO DE JANEIRO;RJ
04915020;RUA PEDRO DA COSTA FALEIRO;JARDIM FIGUEIRA GRANDE;SAO PAULO;SP
13309270;RUA CRISTOVAO DINIZ;JARDIM ESTADIO;ITU;SP
09030400;RUA CORONEL ORTIZ;CENTRO;SANTO ANDRE;SP
19880000;RUA ANTONIO CONTE;CENTRO;CANDIDO MOTA;SP
02957000;RUA ANDRE PEREIRA TEMUDO;VILA MIRANTE;SAO PAULO;SP
38405330;AVENIDA PROFESSOR JOSE INACIO DE SOUZA;JARDIM UMUARAMA;UBERLANDIA;MG
85853900;RODOVIA BR 469;AEROPORTO INTERNACIONAL;FOZ DO IGUACU;PR
56512000;AVENIDA JOSE BONIFACIO;SAO CRISTOVAO;ARCOVERDE;PE
39670000;RUA LIRIO;CENTRO;ITAMARANDIBA;MG
59190000;RUA ALFREDO DE BRITO;AREIA BRANCA;CANGUARETAMA;RN
88317100;RODOVIA JORGE LACERDA;SALSEIROS;ITAJAI;SC
13070055;AVENIDA FRANCISCO JOSE DE CAMARGO ANDRADE;JARDIM CHAPADAO;CAMPINAS;SP
83280000;RUA NICOLAU ABBAGE;CENTRO;GUARATUBA;PR
06447330;RUA JOSE;JARDIM JULIO;BARUERI;SP
07241120;RUA BAIANOPOLIS;JARDIM ANSALCA;GUARULHOS;SP
87050040;AVENIDA CENTENARIO;VILA CHRISTINO;MARINGA;PR
39770000;RUA OSVALDO PIMENTA;CENTRO;COLUNA;MG
29141517;RUA VITORIA;BELA AURORA;CARIACICA;ES
08370547;RUA DOS EUCALIPTOS;VILA GIL;SAO PAULO;SP
37006380;RUA PARAGUACU;JARDIM ANDERE;VARGINHA;MG
38880000;RUA SAGRADO CORACOES;CENTRO;TIROS;MG
93806348;RUA VISCONDE DE SAO LEOPOLDO;SAO LUIZ;SAPIRANGA;RS
08560200;RUA TEREZA;CALMON VIANA;POA;SP
65430000;RUA FLEURY GAMA;SAO MIGUEL;VARGEM GRANDE;MA
44400000;TRAVESSA DO CAMAMU;CENTRO;NAZARE;BA
03156240;RUA SALVADOR MASTROPIETRO;VILA PRUDENTE;SAO PAULO;SP
65032040;RUA 12;CIDADE OPERARIA;SAO LUIS;MA
51345730;RUA PADRE BARTOLOMEU;COHAB;RECIFE;PE
15840000;SITIO SAO BENTO;MARACUJA;ITAJOBI;SP
18470000;RUA SIMPLICIO G OLIVEIRA;CENTRO;RIVERSUL;SP
88420000;RUA DOS PIONEIROS;CENTRO;AGROLANDIA;SC
08120000;AVENIDA BARAO DE ALAGOAS;ITAIM PAULISTA;SAO PAULO;SP
93145600;RUA GEORG HOEFEL;ARROIO DA MANTEIGA;SAO LEOPOLDO;RS
37550000;RUA CORONEL OTAVIO MEYER;CENTRO;POUSO ALEGRE;MG
85950000;RUA DUQUE DE CAXIAS;CENTRO;PALOTINA;PR
36700000;RUA NICOLAU JOSE LALUNA;ALTO DA VENTANIA;LEOPOLDINA;MG
58890000;RUA JOAO PESSOA;CENTRO;BREJO DO CRUZ;PB
06726473;RUA ALTEMAR DUTRA;AGUA ESPRAIADA CAUCAIA DO ALTO;COTIA;SP
13960000;SITIO SAO BENEDITO;LAGOA;SOCORRO;SP
88780000;RODOVIA BR CENTO E UM;VILA NOVA;IMBITUBA;SC
14093536;RUA MAURO MAURIM;PARQUE RESIDENCIAL CANDIDO PORTINARI;RIBEIRAO PRETO;SP
44790000;RUA RUI BARBOSA;CENTRO;CAMPO FORMOSO;BA
86360000;LOCALIDADE TERMINAL RODOVIARIO;CENTRO;BANDEIRANTES;PR
41820021;RUA TANCREDO NEVES;CAMINHO DAS ARVORES;SALVADOR;BA
06516001;RUA MARGINAL;CHACARAS MARIA INES;SANTANA DE PARNAIBA;SP
41940350;RUA ODILON SANTOS;RIO VERMELHO;SALVADOR;BA
37120000;FAZENDA BAGUARI;BAGUARI;PARAGUACU;MG
08210200;RUA FLORES DO PIAUI;ITAQUERA;SAO PAULO;SP
06711170;RUA GRANADA;JARDIM DA GLORIA;COTIA;SP
45880000;RUA 2 DE JULHO;CENTRO;CAMACAN;BA
57020125;LAD DA CATEDRAL;CENTRO;MACEIO;AL
97574320;AVENIDA PRESIDENTE JOAO GOULART;CENTRO;SANTANA DO LIVRAMENTO;RS
60325004;AVENIDA BEZERRA DE MENEZES;SAO GERARDO;FORTALEZA;CE
40301155;LADEIRA PARA;STO ANTONIO;SALVADOR;BA
88117405;RUA JOSE VICTOR DA ROSA;BARREIROS;SAO JOSE;SC
23013710;RUA ALFREDO MARIANO;CAMPO GRANDE;RIO DE JANEIRO;RJ
37550000;RUA JOSE PINTO DE CARVALHO;SAUDE;POUSO ALEGRE;MG
81720000;RUA FRANCISCO DEROSSO;XAXIM;CURITIBA;PR
01221020;RUA DOUTOR CESARIO MOTA JUNIOR;VILA BUARQUE;SAO PAULO;SP
74580380;ALAMEDA COUTO MAGALHAES;SETOR PEDRO LUDOVICO;GOIANIA;GO
11010120;RUA GENERAL CAMARA;CENTRO;SANTOS;SP
04545050;RUA DOUTOR FADLO HAIDAR;VILA OLIMPIA;SAO PAULO;SP
78025100;RUA PROFESSOR FELICIANO GALDINO;PORTO;CUIABA;MT
22041040;RUA DECIO VILARES;COPACABANA;RIO DE JANEIRO;RJ
30710580;RUA PADRE EUSTAQUIO;CARLOS PRATES;BELO HORIZONTE;MG
80050580;RUA ROBERTO CICHON;CRISTO REI;CURITIBA;PR
17524315;AVENIDA MENINO DE SA;JARDIM MONTE CASTELO;MARILIA;SP
89114452;RODOVIA IVO SILVEIRA;SANTA TEREZINHA;GASPAR;SC
95112340;AVENIDA TRICHES;DESVIO RIZZO;CAXIAS DO SUL;RS
73020000;AR 8 CONJUNTO 1;SOBRADINHO;BRASILIA;DF
17012205;RUA HENRIQUE SAVI;VILA UNIVERSITARIA;BAURU;SP
83255000;AVENIDA SEBASTIAO CABOTO;BALNEARIO IPANEMA;PONTAL DO PARANA;PR
96180000;RUA ACINDINO INACIO DIAS;CENTRO;CAMAQUA;RS
90240210;RUA SIMAO KAPPEL;NAVEGANTES;PORTO ALEGRE;RS
05307190;AVENIDA ENGENHEIRO ROBERTO ZUCCOLO;VILA LEOPOLDINA;SAO PAULO;SP
33600000;RUA GILBERTO ALVES RODRIGUES;SAO GERALDO;PEDRO LEOPOLDO;MG
35160241;RUA TOME DE SOUZA;BOM RETIRO;IPATINGA;MG
50020700;RUA TOBIAS BARRETO;SAO JOSE;RECIFE;PE
20530440;RUA CORONEL ARISTARCO PESSOA;TIJUCA;RIO DE JANEIRO;RJ
85610000;RUA NEREU RAMOS;CENTRO;RENASCENCA;PR
75095680;RUA 9;LOURDES;ANAPOLIS;GO
18113430;RUA ANTONIO DI CAMPO DI LORTO;NOVA VOTORANTIM;VOTORANTIM;SP
83212090;AVENIDA AYRTON SENNA DA SILVA;PARQUE SAO JOAO;PARANAGUA;PR
88960000;RUA MANOEL FLORIANO BORGES;RAIZEIRA;SOMBRIO;SC
29300783;RUA DELVO ARLINDO PERIM;GUANDU;CACHOEIRO DE ITAPEMIRIM;ES
96600000;AVENIDA 20 DE SETEMBRO;;CANGUCU;RS
89820000;TRECHO JOAO WINCKLER;CENTRO;XANXERE;SC
11750000;AVENIDA PADRE ANCHIETA;CENTRO;PERUIBE;SP
35195000;RUA ALFREDO V AZEVEDO;BOM JESUS DO BAGRE;BELO ORIENTE;MG
09230280;RUA MIQUELINA;CAMILOPOLIS;SANTO ANDRE;SP
02833050;RUA GUSMAO VAZ LOBO;VILA NINA;SAO PAULO;SP
13580000;RUA FRANCISCO PEREIRA;CENTRO;RIBEIRAO BONITO;SP
13070091;AVENIDA PAPA PIO XII;JARDIM CHAPADAO;CAMPINAS;SP
04913140;RUA ESTEVAO FERNANDES;JARDIM SANTA EDWIGES CAPELA DO SOCORRO;SAO PAULO;SP
84053000;RUA DPEDRO II;NOVA RUSSIA;PONTA GROSSA;PR
77458000;AVENIDA IPE;CENTRO;SUCUPIRA;TO
01454905;RUA PROFESSOR ARTUR RAMOS;JARDIM PAULISTANO;SAO PAULO;SP
60840045;RUA PERGENTINO MAIA;MESSEJANA;FORTALEZA;CE
35550970;RUA VIGARIO ANTUNES;CENTRO;ITAPECERICA;MG
97900000;TRAVESSA SANDRI;CENTRO;CERRO LARGO;RS
89140000;RUA PRESIDENTE CASTELO BRANCO;AREADO;IBIRAMA;SC
06890000;ESTRADA DA BARRINHA;CENTRO;SAO LOURENCO DA SERRA;SP
45605280;RUA EUROPA UNIDA;SAO JUDAS;ITABUNA;BA
37640000;RUA UNIAO SOVIETICA;VILA ESPERANCA;EXTREMA;MG
83606000;AVENIDA ADEMAR DE BARROS;JARDIM SOCIAL;CAMPO LARGO;PR
29345000;RODOVIA MARATAIZES SAFRA;ALVORADA;MARATAIZES;ES
17504000;RUA QUINZE DE NOVEMBRO;ALTO CAFEZAL;MARILIA;SP
18060230;PRACA EDMUNDO VALLE;ALEM LINHA;SOROCABA;SP
36844000;RUA CORONEL EMILIO SOARES;CENTRO;TOMBOS;MG
85301050;RUA QUINZE DE NOVEMBRO;CENTRO;LARANJEIRAS DO SUL;PR
39150000;RUA BARAO DE DIAMANTINA;CENTRO;SERRO;MG
02301080;RUA PROFESSOR BATISTA DE BRITO;VILA PAULICEIA;SAO PAULO;SP
91900240;AVENIDA PEREIRA PASSOS;ASSUNCAO;PORTO ALEGRE;RS
19880000;AVENIDA CORONEL VALENCIO CARNEIRO;CENTRO;CANDIDO MOTA;SP
58400245;RUA JOAO DA MATA;CENTRO;CAMPINA GRANDE;PB
83070020;RUA ANTONIO NUNES DA ROCHA RIOS;RIO PEQUENO;SAO JOSE DOS PINHAIS;PR
87370000;AVENIDA FORTALEZA;CENTRO;MOREIRA SALES;PR
04133200;AVENIDA DO CURSINO;JARDIM DA SAUDE;SAO PAULO;SP
56460000;RUA MANOEL RODRIGUES DE ALMEIDA;CENTRO;PETROLANDIA;PE
36893000;RODOVIA BR 116;CENTRO;MIRADOURO;MG
98530000;RUA PASSO FUNDO;CENTRO;BARRA DO GUARITA;RS
19280000;SITIO SANTO INACIO L;ASSENT AGUA BRANCA;TEODORO SAMPAIO;SP
53525790;AVENIDA BRASIL;CENTRO;ABREU E LIMA;PE
30640060;RUA BARAO DE COROMANDEU;BARREIRO DE BAIXO;BELO HORIZONTE;MG
97110620;ESTRADA RS 509;CAMOBI;SANTA MARIA;RS
16200103;RUA SAO JOSE;CENTRO;BIRIGUI;SP
84500000;RODOVIA IRATI A GUAMIRIM;LAGOA;IRATI;PR
50030220;RUA DO APOLO;RECIFE ANTIGO;RECIFE;PE
88830000;RUA EMILIO FRASSON;MONTE VERDE;MORRO DA FUMACA;SC
28993000;RUA FRANCISCO DA SILVA ARRUDA;PALMITAL;SAQUAREMA;RJ
69450970;RUA DE 15 NOVEMBRO;CENTRO;CODAJAS;AM
06711250;AVENIDA JOAO PAULO ABLAS;JARDIM DA GLORIA;COTIA;SP
69735000;ESTRADA BR 174;;PRESIDENTE FIGUEIREDO;AM
70310500;SCR SUL;ASA SUL;BRASILIA;DF
18275110;RUA DOUTOR PRUDENTE DE MORAES;CENTRO;TATUI;SP
11740000;RUA VEREADOR JOSE SANTINO DE SOUZA;SAVOY II;ITANHAEM;SP
70000000;QND 28;TAGUATINGA;BRASILIA;DF
70294500;SCLS;ASA SUL;BRASILIA;DF
87560000;AVENIDA MASCARENHAS DE MORAES;CENTRO;IPORA;PR
30000000;RUA ITUIUTABA;PRADO;BELO HORIZONTE;MG
15600000;AVENIDA AFONSO CAFARO;JARDIM CAMBAUVA;FERNANDOPOLIS;SP
60000000;AVENIDA WASHINGTON SOARES;COCO;FORTALEZA;CE
58297000;LOCALIDADE MERCADO PUB S AGOSTINHO;CENTRO;RIO TINTO;PB
36780000;RUA PREFEITO JOSE VIEIRA;CENTRO;ASTOLFO DUTRA;MG
97500000;RUA PEDRO SURREAUX;JOQUEI CLUBE;URUGUAIANA;RS
96600000;RUA GENERAL CAMARA;CENTRO;CANGUCU;RS
35701086;RUA DONA JOAQUINA DO POMPEU;PROGRESSO;SETE LAGOAS;MG
71936250;AVENIDA DAS ARAUCARIAS;SUL AGUAS CLARAS;BRASILIA;DF
75040240;RUA JOAQUIM DA CUNHA;MARACANA;ANAPOLIS;GO
96930000;RODOVIA RST 287;RINCAO COMPRIDO;CANDELARIA;RS
59090000;AVENIDA ENGENHEIRO ROBERTO FREIRE;PONTA NEGRA;NATAL;RN
99500000;RUA 20 DE SETEMBRO;CENTRO;CARAZINHO;RS
67133050;TRAVESSA WE;CIDADE NOVA;ANANINDEUA;PA
97500000;RUA GENERAL JOAO MANOEL;CENTRO;URUGUAIANA;RS
58400263;RUA VIDAL DE NEGREIROS;CENTRO;CAMPINA GRANDE;PB
14403270;RUA DAS HORTENSIAS;JARDIM FLORIDA;FRANCA;SP
13218748;AVENIDA ANTONIO MAZIERO;IVOTURUCAIA;JUNDIAI;SP
68005040;RUA 24 DE OUTUBRO;CENTRO;SANTAREM;PA
95552000;RUA PEDRO FELIPE;CENTRO;CAPIVARI DO SUL;RS
62960000;RUA PIO AFONSO CHAVES;CENTRO;TABULEIRO DO NORTE;CE
12900061;TRAVESSA ITALIA;CENTRO;BRAGANCA PAULISTA;SP
19780000;RUA GUIDO PECCHIO;CENTRO;QUATA;SP
62320000;AVENIDA LAIR FELIX NUNES;GOV FERRAZ;TIANGUA;CE
30120070;RUA DOS TUPINAMBAS;CENTRO;BELO HORIZONTE;MG
76200000;RUA H;SETOR BELA VISTA;IPORA;GO
06950000;RUA BASILIO ANTONIO DE MORAES;BARNABES;JUQUITIBA;SP
89130000;RUA JARAGUA DO SUL;RIO MORTO;INDAIAL;SC
04884380;RUA SANTISTA;JARDIM PAPAI NOEL;SAO PAULO;SP
15330000;ESTM GASTAO VIDIGAL A NHANDEARA;BARRA GRANDE DO MATO GROSSO;GASTAO VIDIGAL;SP
58268000;RUA JOSE LIRA;CENTRO;SERTAOZINHO;PB
13487125;RUA BENEDITO SANTOS SCALZITTI;PARQUE RESIDENCIAL TANCREDO NEVES;LIMEIRA;SP
88970000;RODOVIA SC 450;PINHEIROS;SAO JOAO DO SUL;SC
15650000;FAZENDA SAO JUDAS TADEU;BARREIRINHO;ESTRELA D OESTE;SP
15840000;ESTRADA ITAJOBI AO BAIRRO CAMPO TRISTE;ZONA RURAL;ITAJOBI;SP
18520000;SITIO VALE VERDE;HUNGRIA;CERQUILHO;SP
15280000;SITIO RIBEIRAO DAS PALMEIRAS;PALMEIRAS;TURIUBA;SP
17700000;SITIO SAO JOSE;VENDA BRANCA;OSVALDO CRUZ;SP
78580000;RUA T;CENTRO;ALTA FLORESTA;MT
18130460;RUA ENRICO DELL ACQUA;CENTRO;SAO ROQUE;SP
04893000;ESTRADA ENGENHEIRO MARCILAC;EMBURA;SAO PAULO;SP
01310926;AVENIDA PAULISTA;BELA VISTA;SAO PAULO;SP
68740180;ALAMEDA SETE DE SETEMBRO;SAUDADE II;CASTANHAL;PA
06542010;ALAMEDA FRANCA;ALPHAVILLE;SANTANA DE PARNAIBA;SP
18270010;RUA TOMAZ MACHADO JR;JARDIM WANDERLEY;TATUI;SP
58400042;RUA RAIMUNDO ALVES DA SILVA;CENTRO;CAMPINA GRANDE;PB
35570000;RUA GENERAL CARNEIRO;CENTRO;FORMIGA;MG
44380000;RUA LEOPOLDO CEZARANO;CENTRO;CRUZ DAS ALMAS;BA
94940000;AVENIDA PRINCESA ISABEL;PRINCESA IZABEL;CACHOEIRINHA;RS
13480970;ESTRADA MUNICIPAL LIMEIRA A SANTA BARBARA D OESTE;BOA VISTA;LIMEIRA;SP
29330000;RUA LEOPOLDINO FERNANDES DA ROCHA;ITAIPAVA;ITAPEMIRIM;ES
79400000;RODOVIA BR 163;ZONA RURAL;COXIM;MS
15775000;RUA 8;CENTRO;SANTA FE DO SUL;SP
11035220;RUA ARABUTAN;APARECIDA;SANTOS;SP
13503300;RUA 19;CONSOLACAO;RIO CLARO;SP
94150080;RUA ALASKA;SAO GERALDO;GRAVATAI;RS
31155290;RUA JOSE CLETO;SANTA CRUZ;BELO HORIZONTE;MG
