PBI;QLIK;REQUISITO
OK;;Total Geral de empresas;
OK;;Total de empresas matrizes;
OK;;Total de empresas filiais;
OK;;Total de empresas optantes pelo simples e simei;
OK;;Total de empresas públicas;
OK;;Total de empresas privadas;
OK;;Total de empresas ativas;
OK;;Total de empresas baixadas;
OK;;Total de empresas mistas;
OK;;Empresas por UF -> Município (Drilldown);
OK;;Empresas em um gráfico de mapa;
OK;;Empresas por faixa de veículos (leves + pesados) -> 0 a 5, 6 a 10, 11 a 15, 16 a 30, 31 a 50, > 50;
OK;;Filtro de empresas com veículos registrados na antt;
OK;;Filtro de empresas optantes pelo simples (sim e não);
OK;;Filtro de empresas optantes pelo simei (sim e não);
OK;;Empresas por nível e atividade;
OK;;Empresas por data de abertura;
OK;;Empresas por Ramos de Atividade (do arquivo Setores e Ramos de Atividade);
OK;;Empresas por CNAE Principal (tabela, onde CNAE principal tem número de ordem = 0)
